period_months,period_years,cycle_strength,residual_std
120,10.0,0.571,31.815
121,10.08,0.647,28.855
122,10.17,0.727,25.133
123,10.25,0.711,25.968
124,10.33,0.708,26.158
125,10.42,0.725,25.358
126,10.5,0.743,24.435
127,10.58,0.729,25.171
128,10.67,0.745,24.421
129,10.75,0.716,25.881
130,10.83,0.704,26.42
131,10.92,0.701,26.716
132,11.0,0.685,27.386
133,11.08,0.672,28.036
134,11.17,0.671,28.04
135,11.25,0.683,27.499
136,11.33,0.679,27.719
137,11.42,0.686,27.336
138,11.5,0.695,26.974
139,11.58,0.677,27.842
140,11.67,0.679,27.757
141,11.75,0.66,28.532
142,11.83,0.631,29.933
143,11.92,0.611,30.633
144,12.0,0.6,30.99
