year,f107_obs,f107_adj,f107_ursi,observed_days,missing_days,total_measurements,missing_share
1947,219.1,220.6,198.5,260,61,260,0.19
1948,174.7,175.1,157.6,320,46,320,0.126
1949,177.7,177.6,159.9,320,45,320,0.123
1950,128.2,128.2,115.4,267,98,267,0.268
1951,119.4,119.7,107.7,274,91,274,0.249
1952,85.4,85.7,77.1,300,66,300,0.18
1953,73.7,73.9,66.5,288,77,288,0.211
1954,70.2,70.3,63.3,298,67,298,0.184
1955,95.8,95.6,86.1,335,30,335,0.082
1956,184.9,184.7,166.2,349,17,349,0.046
1957,232.9,232.8,209.5,362,3,362,0.008
1958,231.9,232.0,208.8,362,3,362,0.008
1959,210.2,210.3,189.3,359,6,359,0.016
1960,162.0,162.1,145.9,362,4,362,0.011
1961,105.4,105.5,95.0,364,1,364,0.003
1962,90.5,90.5,81.5,351,14,351,0.038
1963,81.2,81.3,73.2,362,3,362,0.008
1964,72.6,72.5,65.3,365,1,365,0.003
1965,76.3,76.4,68.7,365,0,365,0.0
1966,102.2,102.2,92.0,365,0,365,0.0
1967,143.3,143.2,128.9,365,0,365,0.0
1968,149.3,149.1,134.2,366,0,366,0.0
1969,151.2,151.1,136.0,365,0,365,0.0
1970,156.0,156.0,140.4,365,0,365,0.0
1971,118.4,118.2,106.4,365,0,365,0.0
1972,120.8,120.9,108.8,365,1,365,0.003
1973,93.3,93.4,84.0,365,0,365,0.0
1974,86.6,86.7,78.0,365,0,365,0.0
1975,76.1,76.1,68.5,365,0,365,0.0
1976,73.4,73.4,66.0,366,0,366,0.0
1977,86.9,86.9,78.2,365,0,365,0.0
1978,143.5,143.5,129.1,365,0,365,0.0
1979,191.9,191.6,172.4,365,0,365,0.0
1980,198.6,198.5,178.7,366,0,366,0.0
1981,202.6,202.6,182.3,365,0,365,0.0
1982,175.1,174.8,157.4,365,0,365,0.0
1983,119.7,119.9,107.9,364,1,364,0.003
1984,100.9,100.9,90.8,366,0,366,0.0
1985,74.7,74.8,67.3,365,0,365,0.0
1986,74.0,74.0,66.6,365,0,365,0.0
1987,85.3,85.4,76.8,365,0,365,0.0
1988,141.0,141.1,127.0,366,0,366,0.0
1989,213.5,213.4,192.1,365,0,365,0.0
1990,189.8,189.8,170.8,365,0,365,0.0
1991,208.1,208.0,187.2,365,0,365,0.0
1992,150.5,149.9,135.0,365,1,365,0.003
1993,109.7,109.6,98.6,365,0,365,0.0
1994,85.8,85.6,77.1,365,0,365,0.0
1995,77.1,77.2,69.5,364,1,364,0.003
1996,72.0,72.0,64.8,365,1,1006,0.003
1997,80.9,80.8,72.8,365,0,1094,0.0
1998,118.1,118.1,106.3,365,0,1095,0.0
1999,153.7,153.7,138.4,365,0,1093,0.0
2000,179.7,179.9,161.9,366,0,1097,0.0
2001,182.1,181.9,163.7,365,0,1089,0.0
2002,179.7,179.6,161.6,365,0,1093,0.0
2003,128.8,128.8,115.9,365,0,1092,0.0
2004,106.8,106.9,96.2,361,5,1077,0.014
2005,92.2,92.3,83.1,364,1,1087,0.003
2006,80.1,80.1,72.1,365,0,1086,0.0
2007,73.1,73.1,65.8,365,0,1095,0.0
2008,68.9,68.9,62.0,364,2,1090,0.005
2009,70.5,70.5,63.5,365,0,1095,0.0
2010,79.9,79.8,71.8,365,0,1094,0.0
2011,113.4,113.3,102.0,364,1,1091,0.003
2012,119.6,119.7,107.8,365,1,1095,0.003
2013,122.7,122.6,110.3,365,0,1093,0.0
2014,145.8,145.6,131.0,365,0,1093,0.0
2015,117.3,117.2,105.5,364,1,1089,0.003
2016,88.8,88.8,79.9,366,0,1098,0.0
2017,77.2,77.2,69.5,365,0,1095,0.0
2018,69.9,70.0,63.0,365,0,1120,0.0
2019,69.7,69.7,62.7,365,0,1094,0.0
2020,73.8,73.7,66.3,366,0,1094,0.0
2021,81.8,81.7,73.6,364,1,1088,0.003
2022,124.3,124.3,111.9,365,0,1101,0.0
2023,158.5,158.6,142.7,365,0,1099,0.0
2024,190.2,190.5,171.4,366,0,1098,0.0
2025,154.2,154.0,138.6,365,0,1092,0.0
2026,134.3,132.4,119.2,128,0,384,0.0
