horizon_days,feature_set,model,n_train,n_test,MAE,RMSE,R2,MAE_current_only,improvement_vs_current_only_%
1,standard_lag_rolling,Ridge,19965,4992,3.248,5.235,0.985,3.774,13.934
1,standard_plus_structural,Ridge,19965,4992,3.274,5.236,0.985,3.774,13.232
1,standard_lag_rolling,HistGradientBoosting,19965,4992,3.349,5.379,0.984,3.764,11.011
1,standard_lag_rolling,RandomForest,19965,4992,3.376,5.521,0.983,3.906,13.578
1,standard_plus_structural,HistGradientBoosting,19965,4992,3.38,5.386,0.984,3.764,10.201
1,standard_plus_structural,RandomForest,19965,4992,3.384,5.53,0.983,3.906,13.367
1,structural_all,Ridge,19965,4992,3.744,5.896,0.981,3.774,0.78
1,persistence,Persistence,19965,4992,3.751,5.944,0.98,,
1,current_only,HistGradientBoosting,19965,4992,3.764,5.921,0.981,3.764,0.0
1,structural_all,HistGradientBoosting,19965,4992,3.772,5.962,0.98,3.764,-0.217
1,current_only,Ridge,19965,4992,3.774,5.93,0.98,3.774,0.0
1,structural_all,RandomForest,19965,4992,3.816,6.068,0.98,3.906,2.305
1,current_only,RandomForest,19965,4992,3.906,6.194,0.979,3.906,0.0
7,standard_lag_rolling,Ridge,19965,4992,11.33,16.774,0.844,15.771,28.158
7,standard_plus_structural,Ridge,19965,4992,11.519,16.779,0.843,15.771,26.961
7,standard_lag_rolling,HistGradientBoosting,19965,4992,12.475,18.387,0.812,15.079,17.269
7,standard_plus_structural,HistGradientBoosting,19965,4992,12.867,18.933,0.801,15.079,14.672
7,standard_plus_structural,RandomForest,19965,4992,13.533,19.755,0.783,15.312,11.614
7,structural_all,HistGradientBoosting,19965,4992,13.559,20.385,0.769,15.079,10.085
7,standard_lag_rolling,RandomForest,19965,4992,13.591,19.969,0.778,15.312,11.238
7,structural_all,Ridge,19965,4992,13.995,20.05,0.777,15.771,11.257
7,structural_all,RandomForest,19965,4992,14.328,21.31,0.748,15.312,6.425
7,current_only,HistGradientBoosting,19965,4992,15.079,22.331,0.723,15.079,0.0
7,persistence,Persistence,19965,4992,15.156,23.239,0.7,,
7,current_only,RandomForest,19965,4992,15.312,22.83,0.71,15.312,0.0
7,current_only,Ridge,19965,4992,15.771,22.408,0.721,15.771,0.0
27,standard_lag_rolling,Ridge,19965,4992,13.135,19.141,0.796,14.759,11.004
27,standard_plus_structural,Ridge,19965,4992,13.382,18.873,0.802,14.759,9.332
27,structural_all,HistGradientBoosting,19965,4992,13.515,19.627,0.786,14.192,4.773
27,structural_all,RandomForest,19965,4992,13.55,20.116,0.775,14.369,5.698
27,structural_all,Ridge,19965,4992,13.573,19.028,0.799,14.759,8.036
27,standard_lag_rolling,HistGradientBoosting,19965,4992,13.974,20.458,0.767,14.192,1.538
27,persistence,Persistence,19965,4992,14.007,20.715,0.761,,
27,standard_plus_structural,HistGradientBoosting,19965,4992,14.101,20.291,0.771,14.192,0.644
27,current_only,HistGradientBoosting,19965,4992,14.192,20.295,0.771,14.192,0.0
27,standard_lag_rolling,RandomForest,19965,4992,14.342,20.687,0.762,14.369,0.185
27,current_only,RandomForest,19965,4992,14.369,20.735,0.761,14.369,0.0
27,current_only,Ridge,19965,4992,14.759,20.126,0.775,14.759,0.0
27,standard_plus_structural,RandomForest,19965,4992,15.117,21.65,0.739,14.369,-5.206
81,structural_all,RandomForest,19965,4992,15.776,22.865,0.709,18.033,12.519
81,structural_all,HistGradientBoosting,19965,4992,15.98,23.092,0.704,17.799,10.218
81,standard_plus_structural,HistGradientBoosting,19965,4992,16.072,23.449,0.694,17.799,9.702
81,standard_lag_rolling,Ridge,19965,4992,16.098,23.471,0.694,18.422,12.615
81,standard_plus_structural,Ridge,19965,4992,16.327,22.469,0.719,18.422,11.372
81,standard_plus_structural,RandomForest,19965,4992,16.486,24.046,0.679,18.033,8.581
81,structural_all,Ridge,19965,4992,16.959,22.916,0.708,18.422,7.942
81,current_only,HistGradientBoosting,19965,4992,17.799,25.429,0.641,17.799,0.0
81,persistence,Persistence,19965,4992,17.825,26.481,0.61,,
81,current_only,RandomForest,19965,4992,18.033,25.917,0.627,18.033,0.0
81,standard_lag_rolling,HistGradientBoosting,19965,4992,18.241,27.337,0.585,17.799,-2.488
81,current_only,Ridge,19965,4992,18.422,25.188,0.647,18.422,0.0
81,standard_lag_rolling,RandomForest,19965,4992,19.565,28.856,0.537,18.033,-8.494
180,structural_all,HistGradientBoosting,19965,4992,17.301,24.519,0.666,19.905,13.079
180,standard_plus_structural,HistGradientBoosting,19965,4992,18.022,26.517,0.609,19.905,9.457
180,standard_plus_structural,RandomForest,19965,4992,18.128,26.91,0.597,20.264,10.541
180,structural_all,RandomForest,19965,4992,18.297,25.076,0.65,20.264,9.705
180,standard_plus_structural,Ridge,19965,4992,18.55,25.591,0.636,21.491,13.686
180,structural_all,Ridge,19965,4992,19.135,25.576,0.636,21.491,10.962
180,standard_lag_rolling,Ridge,19965,4992,19.606,28.581,0.546,21.491,8.772
180,current_only,HistGradientBoosting,19965,4992,19.905,28.114,0.561,19.905,0.0
180,current_only,RandomForest,19965,4992,20.264,28.632,0.544,20.264,0.0
180,standard_lag_rolling,HistGradientBoosting,19965,4992,20.43,30.986,0.466,19.905,-2.639
180,persistence,Persistence,19965,4992,20.98,31.111,0.462,,
180,standard_lag_rolling,RandomForest,19965,4992,21.147,32.386,0.417,20.264,-4.356
180,current_only,Ridge,19965,4992,21.491,29.061,0.531,21.491,0.0
365,structural_all,HistGradientBoosting,19965,4992,19.823,26.655,0.605,24.652,19.588
365,standard_plus_structural,HistGradientBoosting,19965,4992,20.59,28.737,0.541,24.652,16.478
365,structural_all,Ridge,19965,4992,22.69,29.115,0.529,26.049,12.898
365,standard_plus_structural,Ridge,19965,4992,22.789,29.25,0.524,26.049,12.515
365,structural_all,RandomForest,19965,4992,23.912,34.19,0.35,24.934,4.098
365,standard_lag_rolling,Ridge,19965,4992,24.618,31.444,0.45,26.049,5.495
365,current_only,HistGradientBoosting,19965,4992,24.652,32.026,0.43,24.652,0.0
365,standard_plus_structural,RandomForest,19965,4992,24.87,34.116,0.353,24.934,0.256
365,current_only,RandomForest,19965,4992,24.934,32.682,0.406,24.934,0.0
365,persistence,Persistence,19965,4992,25.515,36.342,0.266,,
365,current_only,Ridge,19965,4992,26.049,33.076,0.392,26.049,0.0
365,standard_lag_rolling,HistGradientBoosting,19965,4992,26.616,36.474,0.26,24.652,-7.967
365,standard_lag_rolling,RandomForest,19965,4992,27.519,37.532,0.217,24.934,-10.368
730,structural_all,HistGradientBoosting,19965,4992,24.422,31.148,0.461,33.679,27.488
730,standard_plus_structural,HistGradientBoosting,19965,4992,24.551,31.46,0.45,33.679,27.105
730,standard_plus_structural,Ridge,19965,4992,26.74,32.809,0.402,33.375,19.88
730,structural_all,Ridge,19965,4992,26.892,32.894,0.398,33.375,19.424
730,standard_plus_structural,RandomForest,19965,4992,28.52,37.879,0.202,33.997,16.109
730,structural_all,RandomForest,19965,4992,29.139,39.785,0.12,33.997,14.289
730,standard_lag_rolling,HistGradientBoosting,19965,4992,30.771,38.942,0.157,33.679,8.637
730,standard_lag_rolling,Ridge,19965,4992,30.853,36.408,0.263,33.375,7.557
730,standard_lag_rolling,RandomForest,19965,4992,32.978,41.501,0.043,33.997,2.996
730,current_only,Ridge,19965,4992,33.375,40.122,0.105,33.375,0.0
730,current_only,HistGradientBoosting,19965,4992,33.679,40.84,0.073,33.679,0.0
730,current_only,RandomForest,19965,4992,33.997,41.287,0.052,33.997,0.0
730,persistence,Persistence,19965,4992,34.2,45.466,-0.149,,
