horizon_days,activity_level,MAE,median_AE,n
1,high,5.91430937894327,4.404221930869866,1125
1,low,1.4276774089918545,0.8489160373799294,2116
1,medium,3.5900496295987825,2.6428869614148027,2474
7,high,19.626141918559252,16.750146021086522,1125
7,low,4.717049520421844,2.751484273350002,2121
7,medium,13.029124241657552,10.453510986171771,2468
27,high,22.84186676940157,19.855181363245265,1107
27,low,5.880123996430607,3.404515319109109,2137
27,medium,14.84353898283119,11.99140009274197,2466
81,high,27.55455364027916,23.649972805982998,1053
81,low,6.8647830451616425,4.130438016849567,1857
81,medium,17.765970126370682,13.372633842651034,2082
180,high,26.2336698442812,20.15747468940335,954
180,low,9.035232370240198,6.162321406146759,1857
180,medium,20.432194638299684,15.914660431413793,2181
365,high,27.256033574710923,21.401953818520596,769
365,low,13.564913422097524,9.795196316393927,1857
365,medium,22.319289067280035,17.647014439707235,2366
730,high,39.757484323767365,39.6497848991116,404
730,low,23.335919571498152,23.197785710008702,2122
730,medium,22.843369249575225,15.232904406613955,2466
